,07-ghost,3-gatsu-no-lion,7seeds,91-days,acca-13,aico-incarnation,amagi-brilliant-park,appare-ranman,assassination-classroom,baby-steps,ballroom-e-youkoso,banana-fish,barakamon,blue-lock,blue-period,bocchi-the-rock,boku-no-hero-academia,bungo-stray-dogs,burn-the-witch,chainsaw-man,charlotte,chihayafuru,cider-no-you-ni-kotoba-ga-wakiagaru,deca-dence,dr-stone,drifting-dragons,eighty-six,fire-force,flying-witch,free,fruits-basket,fugou-keiji,giant-killing,gleipnir,great-pretender,hibike-euphonium,horimiya,hyouka,id-invaded,iron-blooded-orphans,jujutsu-kaisen,k-return-of-kings,kabukichou-sherlock,kaze-ga-tsuyoku-fuiteiru,kobayashi-san-dragon-maid,kuroko-no-basket,lycoris-recoil,magic-kaito-1412,mahoutsukai-no-yome,maou-gakuin-no-futekigousha,mawaru-penguindrum,megalobox,mushishi,nagi-no-asukara,no-guns-life,orbital-children,paripi-koumei,peachboy-riverside,planetes,plunderer,princess-principal,psycho-pass,relife,sayounara-zetsubou-sensei,shirobako,sirius-the-jaeger,ssss-dynazenon,standing-on-a-million-lives,suisei-no-majo,sukitte-ii-na-yo,summer-time-rendering,takt-op-destiny,tales-of-zestiria-the-x,tamako-love-story,tantei-wa-mou-shindeiru,tonari-no-kaibutsu-kun,usagi-drop,vanitas-no-karte,vinland-saga,violet-evergarden,vivy-flourite-eyes-song,wotaku-ni-koi-wa-muzukashii,yakusoku-no-neverland,yowamushi-pedal,yuru-camp
07-ghost,1.0,0.01225758646278227,0.017299442228797417,0.04239261768835361,0.03437104986353308,0.006971948135310761,0.008940883864531358,0.007680461060955688,0.016997285227204176,0.005251904421845541,0.00321908051889315,0.027562280869731212,0.026293671814538636,0.011576840390684908,0.015319143459882747,0.007901648684158193,0.014235129529588005,0.018229694337210296,0.00727858492439076,0.009952684615204157,0.03184790717040649,0.006386141838405109,0.005557681743176559,0.010398541689554067,0.039866774881220264,0.0480957081617543,0.0272790939123374,0.016233896349709266,0.008507051080573567,0.005887913824499693,0.009894444373871122,0.008229291817603998,0.008199018525934958,0.007831871324067147,0.020989753741249652,0.010289626601268151,0.003925436609644914,0.009829574618048354,0.00930389185085927,0.02033275242101719,0.014081611926449057,0.010632429135637143,0.017067606603250816,0.038733647302444364,0.006829725265039846,0.007834271926727126,0.017570545890789706,0.011554671813391103,0.021969947480352938,0.023705949977524978,0.011115749721683898,0.014491109164616947,0.035150421804809845,0.04655394163623228,0.017458341466023954,0.006247695231891835,0.010274445146186348,0.01514552315078621,0.014998605081936506,0.019017740046152695,0.02880578549188929,0.019228935061465086,0.004081685855191487,0.03317725501614863,0.014244768781024932,0.01821768946152478,0.007806349737693478,0.013584035970339465,0.011513336991602818,0.006198331825283737,0.02747217950190157,0.027972337017619437,0.027953080069922216,0.014143091897625268,0.014747024677807816,0.0058433881421618835,0.005060485802776691,0.01719625655403413,0.03358679880616922,0.03465921391811014,0.0172827322632231,0.004158691464895877,0.016031015363282938,0.010550316018455432,0.010494295965697516
3-gatsu-no-lion,0.01225758646278227,0.9999999999999998,0.018097352496626494,0.015122224672973127,0.009945702135013317,0.007749951453987294,0.009053247207285684,0.00641200649234264,0.016326014945004876,0.012099132234310432,0.012995317932429118,0.01566491974481727,0.03725405026829668,0.019326565151348115,0.010997119349008579,0.03550129118989697,0.013875789376427932,0.012697484198719853,0.007537076920831797,0.009791255000815662,0.01652259374375486,0.020088479843746676,0.01973930918520296,0.006900593783643948,0.013891301249142039,0.019266373129361254,0.0063683474189784655,0.012841580771789653,0.019904166537184066,0.009790195183909582,0.01918378134643576,0.007453253367115388,0.02221485304766699,0.004699001092314508,0.01890840136960783,0.014163944145282402,0.007312528813610674,0.00725792747109672,0.008135261422699594,0.011426387386220954,0.010470510373749707,0.013506623375912446,0.016153052544124493,0.023422396971154,0.004728496112765379,0.011546132769145763,0.008545860868158223,0.011668078455734473,0.0109566699381196,0.007832204086510502,0.009353115388785192,0.016039477173446722,0.02589745906149238,0.02446234594777365,0.009385724538942632,0.00807686083891342,0.006453746813450563,0.015000866392583344,0.012506957751017596,0.011894899564867611,0.009928771026461988,0.014642969810562892,0.005443080720469623,0.023061393663716498,0.014705068468446209,0.008573845521929203,0.00955829336017719,0.009076143064765231,0.007969105128106911,0.008570640627478835,0.005175200691543679,0.024776485357129008,0.003974767542827573,0.019271535840640928,0.0071684720701875185,0.008432628281161874,0.012895819410863955,0.006546483328994641,0.021133299739496746,0.009341128133220737,0.007294735547959128,0.005812536365383372,0.010816997374439556,0.012609928537860226,0.018116912827052294
7seeds,0.017299442228797417,0.018097352496626494,1.0000000000000002,0.016395455390739347,0.01184912801233269,0.007503032078601698,0.012031614940221058,0.008032701294334034,0.018581616811876357,0.01570940104757573,0.005203097316539943,0.021785931491019414,0.015787050294542224,0.014041642065959968,0.014100615552850351,0.01234321215611993,0.015131759672608242,0.015033176641862407,0.006420909664975845,0.017019746307578854,0.01129525385305129,0.00955811655745757,0.0379518131393239,0.008985689381995446,0.01694782925629645,0.017863695773764333,0.012699743996390811,0.013561386533047943,0.013094211237094765,0.14307259473826608,0.01564902410311281,0.014138117476471005,0.008506891180715787,0.006484178607715617,0.016686566342206992,0.01060500077492846,0.0047009513332898,0.006169141789473427,0.02303598706337806,0.011106225629718023,0.014754945220376415,0.005661878016255274,0.03493296866973208,0.011703931677770112,0.004863820794860518,0.0060904485700199705,0.011492671916913458,0.006925765134981073,0.009801882315940072,0.005625904047071625,0.012348819391923047,0.026866655349680482,0.05860374760930237,0.023488175121630865,0.00856765863051583,0.012147433809667488,0.007096026298076655,0.01721805086402216,0.01626570240613929,0.00858512164260155,0.01172333221123434,0.01399144979839889,0.00419708538956132,0.020331190135943478,0.014445844432953766,0.012635428447943638,0.005253767800562131,0.009875694208998899,0.005103059478459184,0.004851515018899462,0.013178930733219449,0.02041327067842956,0.006411537997185479,0.008501112224815014,0.014196482853116758,0.1509958819574536,0.008301296120674343,0.005824280675634499,0.018874526717274,0.011201082561982396,0.010260187259443705,0.01174716052432591,0.013344315010879473,0.010110286690737496,0.03221345195620879
91-days,0.04239261768835361,0.015122224672973127,0.016395455390739347,0.9999999999999998,0.011941480606786136,0.0054050787478696774,0.00803670582098076,0.012973285013896219,0.026103823327913247,0.005740469274256317,0.005349746801109675,0.03532894148590305,0.14470154432249643,0.0128163147062703,0.006869569930409116,0.007881495549664816,0.012547588913347035,0.015607448815608792,0.005434557956446188,0.014883379348756305,0.061987387374243225,0.005209769687845812,0.007524148555199014,0.011077283809595622,0.01268786355620627,0.013277459901823357,0.017499930344622813,0.013472232900122899,0.23229846307928959,0.00566856153394263,0.012419043566647477,0.00978096143464803,0.00902625074564266,0.011220699667993899,0.031595728149019287,0.004750985259899228,0.002989227887313984,0.007357867167961672,0.01928977151057581,0.015648895012426223,0.00762802549175881,0.006609785815131444,0.022092300636410676,0.13205543185694457,0.009008622409745204,0.008053385000815491,0.011748506679625988,0.011402143648562716,0.010193443029874407,0.007367648927074022,0.006337353528315352,0.02223719665036622,0.03321609521888453,0.07778396710898601,0.01675487553492277,0.006603229830569129,0.00664726679164551,0.012842728607532576,0.0515213526492681,0.012472961130072843,0.015933887223684218,0.021348283342124613,0.0037115431661946777,0.016121975869271075,0.012191601070622528,0.015301511637669574,0.005510411982824035,0.007120031156666795,0.006343071908615672,0.00447117160695104,0.0062086640105252725,0.020695604932166427,0.008601212229044893,0.04410066523621055,0.009877457103447264,0.008334594409883909,0.007230859546717784,0.012390070114782091,0.039853492288910525,0.025812862321702223,0.008349542674778348,0.007264159685004999,0.04716439953533968,0.007033838154492949,0.02168995232735315
acca-13,0.03437104986353308,0.009945702135013317,0.01184912801233269,0.011941480606786136,1.0,0.010067389340568007,0.012979102576523696,0.006415465962896898,0.01670466633561745,0.006596872984517592,0.0027100506766115032,0.020871652159344892,0.007308304566135963,0.009311851352442653,0.007114388820859731,0.014844688714748413,0.007308504402828685,0.019266856990297312,0.02280560707078665,0.009954536622483655,0.009474883198008844,0.0039841665929565345,0.00428493253154762,0.010395708877095903,0.010572167593635409,0.007971333772667196,0.0294728087943338,0.013501916898624797,0.006020350500563545,0.005753071551358008,0.011797254817158353,0.06385006907009143,0.01577007677086821,0.0037651844252431085,0.0187368263940435,0.007112228800978588,0.0024206812293934192,0.010241337448138786,0.01009053151905736,0.017265506610091796,0.006887873586565643,0.006965155820798095,0.046482598820037586,0.028782780098447158,0.004187347650910154,0.006424876007225661,0.013698208799532532,0.011943309153653018,0.006397861196683817,0.00661377110080134,0.011381568557467633,0.011556551127767017,0.020752474894574272,0.0059106951026686675,0.01577376206514924,0.006519140314415446,0.0044593569982041914,0.012864244888653637,0.11969062371977048,0.01077126159643714,0.05201084124233151,0.03325238972087015,0.007047509898508105,0.018702343585999495,0.01171633548321669,0.022891731577086773,0.007361088242139949,0.014721252220893875,0.009558245235527865,0.005116821544652007,0.003988682647294729,0.015584308558936357,0.00933218556115002,0.012900412260658259,0.010233153397783282,0.004611648548017502,0.008331513042424538,0.006747860248028668,0.02865245520737134,0.03196295058310972,0.00968217856439166,0.0035060915871601714,0.01907039979826147,0.008098315609317142,0.010514236567340176
aico-incarnation,0.006971948135310761,0.007749951453987294,0.007503032078601698,0.0054050787478696774,0.010067389340568007,1.0,0.007483693399143656,0.005400550777436971,0.040349842734085144,0.004044891179707693,0.0016377344508336895,0.013579309999681854,0.015331532668313498,0.008335939135260746,0.0029849550614486527,0.007911014788172868,0.006382956868352164,0.010127269635497132,0.005520103926063265,0.0035964624898549135,0.04855533409379532,0.003272983980368589,0.006394657237872881,0.010570187223681478,0.010667235340961617,0.004644172020265481,0.010568756480009395,0.011202270027228723,0.003627216959064705,0.016412509734798846,0.0034912164497664004,0.023550955595567438,0.0047018832980076225,0.01254889224474025,0.013209125570748954,0.0056318969875252195,0.008753852683961203,0.004095153627268991,0.011062124876798645,0.010548598937935381,0.010875020757150048,0.017492142573094043,0.007814681841977464,0.005589653845958115,0.0044648155054298954,0.005739747976027115,0.01179907426650506,0.005660867129514155,0.004477485522722474,0.00660681007852185,0.02363726440802704,0.008703241555683272,0.014806435240553473,0.006608091721043983,0.0146146528778874,0.03248450261555546,0.0031729533074392703,0.006412550896164999,0.01790982326323622,0.009016214067427478,0.009401941463174463,0.02058255861889422,0.0028499427985613996,0.013139168472387209,0.006945761573725088,0.007000264317617599,0.003855877001929601,0.006832409811706392,0.006434773928272459,0.11496498908336984,0.002485062769152944,0.01164925007566152,0.0036581150464851707,0.0019117211672993785,0.006231425664086887,0.0024030533638915836,0.002513695434710739,0.0040949479009107035,0.006395853734923771,0.008685933634149707,0.00962532833098762,0.0020353924248783916,0.009744671906428325,0.007431112158955777,0.0059447252422139725
amagi-brilliant-park,0.008940883864531358,0.009053247207285684,0.012031614940221058,0.00803670582098076,0.012979102576523696,0.007483693399143656,1.0,0.00803579168557724,0.012814334255260799,0.03549878890104156,0.0037160741692250474,0.014746074674922576,0.008262821643359636,0.009748533345592017,0.007800706583479549,0.013224908171532417,0.012695350793196305,0.010040333587140892,0.010344939000880066,0.0050136635241942685,0.007460709635945625,0.004468750396758922,0.0061318064115223085,0.007212131925291004,0.02795320164548736,0.016326833700020082,0.008637332091093292,0.0060359025156217815,0.007426004192029872,0.005724090198246431,0.007926371942949519,0.007065205985182503,0.01122712144705175,0.003765015690617761,0.014185595118246835,0.006515415579242205,0.0024839101733884466,0.005700806001610249,0.006047880600221154,0.010855668726970405,0.0063738009655905405,0.007345822522790459,0.012239820196143577,0.006830818735410577,0.005602487347560498,0.005217851880724196,0.015740624759509998,0.0771379355094288,0.013853075465724,0.020084066126897407,0.005046867658683378,0.011404650233914149,0.02053122453010145,0.005469479477889358,0.00798067880091044,0.011360746704776683,0.05023536276041108,0.01111069619821288,0.012820308986268573,0.009995791281008214,0.018567700169764383,0.011440149521781661,0.003605494449956083,0.017082939344762158,0.011540789851353957,0.008465054141257894,0.006786264112654607,0.008612834624826007,0.006443194858777776,0.004744687167899298,0.002935947332834882,0.010554558367734364,0.010347546742590004,0.003945744457608258,0.00614995399988951,0.0036026881297877137,0.003925248209364006,0.005603031837920814,0.027444904330975625,0.013024157822131696,0.0057551352715220555,0.003461803291462146,0.007868092308466367,0.005580493488174984,0.0070307036574010625
appare-ranman,0.007680461060955688,0.00641200649234264,0.008032701294334034,0.012973285013896219,0.006415465962896898,0.005400550777436971,0.00803579168557724,1.0,0.01294248851464436,0.004808828852928994,0.002729961377827986,0.015552471516697742,0.005566005483195675,0.012194768986179876,0.003270908635400807,0.004150296349325134,0.006780385438517426,0.010723770236524958,0.004449495968560862,0.006468048756763426,0.005368715794501818,0.003251097383613185,0.0040703355856601415,0.010852541199800801,0.013988140275043554,0.01092184859715385,0.007812679968654432,0.009584307783346933,0.006715765795813783,0.005548506030988106,0.004756597896300974,0.008844146425887888,0.008863100627326969,0.004214967319717628,0.014189819134316854,0.003986558689316748,0.00164370762186069,0.0035969682181733196,0.00674605473842447,0.008747789826199255,0.00480124894106836,0.007910110567490629,0.015587987357215265,0.007159660759972912,0.003099143049104513,0.0052964450272290345,0.008043601192609042,0.0061236920808246265,0.004461585557011367,0.005184753696963918,0.014874383195182419,0.012351494583648,0.016120428381567034,0.00442203318177665,0.009248063768418786,0.006478971554253298,0.004333606785410627,0.009864178654353226,0.02201882333767381,0.008241353526108068,0.012634436228973716,0.009623457568837531,0.0018284022306057396,0.011850966323016967,0.007130060082388023,0.008028632922048308,0.0028136827888351587,0.010309642092217243,0.007805721626974429,0.00265375791747625,0.0021623783887139685,0.01922752461506005,0.005126677173973079,0.0028753584009958456,0.00622073092374819,0.0032499563175280213,0.0031022367342886494,0.004723100998534841,0.014544256167846157,0.013354615159550273,0.004109314498745348,0.0020043746644422297,0.008042102706210025,0.011685383220772342,0.007901254632075668
assassination-classroom,0.016997285227204176,0.016326014945004876,0.018581616811876357,0.026103823327913247,0.01670466633561745,0.040349842734085144,0.012814334255260799,0.01294248851464436,1.0000000000000002,0.01828889828790965,0.009351627101878444,0.03693172861599826,0.04266677602904,0.02756718863506588,0.013117887718257703,0.012964128317567516,0.028921155784168307,0.02686181418696934,0.010393205054441322,0.008209641490255003,0.029141763327321775,0.011497904077434803,0.008259103844327995,0.01158762786525535,0.022069001612786538,0.008333862642327246,0.013004045085665595,0.017944332133617985,0.013708649749032535,0.06053928493567598,0.014206602946333594,0.010916450817274369,0.023803125426266548,0.013882034720436677,0.025745985936699696,0.017976921648094956,0.01357565906582297,0.016646281324375154,0.013716594734330822,0.015940140007919833,0.01772129830440671,0.009632131412753901,0.021124492407779746,0.015912575611493594,0.009577199788167465,0.017377184522822577,0.026526431034597984,0.01948401500346633,0.008224471798035392,0.012261146388330355,0.007969084514005968,0.019019798731162385,0.02559570914815208,0.014973225884395114,0.018091364780685546,0.03263112945916531,0.007958781382736233,0.012951792736350408,0.03073840222028585,0.017923434905968594,0.0515559016188017,0.02975715243327769,0.008966790070476769,0.06278500401364881,0.02164151795171154,0.008786158869775691,0.005540300236224945,0.04585960408170264,0.01877015121278061,0.006967529889365874,0.011760423135208361,0.019520280962781123,0.012705897032539224,0.009987238495590231,0.039805715161660093,0.01755974817120764,0.00756925157885276,0.008043876446905993,0.016605573828279145,0.014734200825486746,0.014099475482667647,0.007290619009417632,0.017380653783161542,0.01527237783811418,0.014577027769746285
baby-steps,0.005251904421845541,0.012099132234310432,0.01570940104757573,0.005740469274256317,0.006596872984517592,0.004044891179707693,0.03549878890104156,0.004808828852928994,0.01828889828790965,1.0,0.01490786943804522,0.014179134113293404,0.007357569928976868,0.048463303270834375,0.011825435450638563,0.009111107634600147,0.020900250963895542,0.006230531229483836,0.002470728462554176,0.0029655361471663403,0.011081637562403041,0.02509621712666223,0.004302995130319034,0.005197372543547013,0.007335455416118162,0.003951896163354799,0.005089072518461295,0.0059003264650815904,0.004692998419093522,0.012891872934390725,0.00575637845282808,0.0050086852998528246,0.031757391021113565,0.003336273189187026,0.022402651425475047,0.011222428214877022,0.00462273488567806,0.005085993379534985,0.004166640115719723,0.005049829563139101,0.008975711776182435,0.0026254186004771953,0.005982117498527115,0.016252346252697305,0.002803998187346714,0.029096310270106413,0.0044371835579835135,0.004061458943430334,0.0031944343609224316,0.004697707169177052,0.0057733691527642305,0.045345708186486894,0.008762305057922207,0.0033278947002051596,0.004169759164479159,0.00493383747253727,0.00543826775849746,0.0055963276311700155,0.009163311249509025,0.0045525348095812575,0.00837484537671465,0.0075839614373565175,0.006537736520789235,0.010191596674887273,0.011162860754844812,0.0030127225348631436,0.003359506942434584,0.008001613252560743,0.004413710431926598,0.002671655671212769,0.001857987368876083,0.007377040459440066,0.0024012296627040756,0.006902987215592781,0.009850937832398302,0.006286902844591631,0.0030218215255733583,0.002574384412978122,0.007429308194630717,0.004921331122069109,0.003799312135613082,0.008573424861185576,0.007306539589031423,0.01720115680983518,0.006681105660377456
