,07-ghost,3-gatsu-no-lion,7seeds,amagi-brilliant-park,appare-ranman,assassination-classroom,baby-steps,ballroom-e-youkoso,banana-fish,barakamon,blue-lock,blue-period,bocchi-the-rock,boku-no-hero-academia,bungo-stray-dogs,burn-the-witch,chihayafuru,cider-no-you-ni-kotoba-ga-wakiagaru,deca-dence,dr-stone,drifting-dragons,eighty-six,fire-force,flying-witch,free,fruits-basket,fugou-keiji,giant-killing,gleipnir,great-pretender,hibike-euphonium,horimiya,hyouka,id-invaded,iron-blooded-orphans,jujutsu-kaisen,k-return-of-kings,kabukichou-sherlock,kaze-ga-tsuyoku-fuiteiru,kobayashi-san-dragon-maid,kuroko-no-basket,lycoris-recoil,magic-kaito-1412,mahoutsukai-no-yome,maou-gakuin-no-futekigousha,mawaru-penguindrum,megalobox,mushishi,nagi-no-asukara,no-guns-life,orbital-children,paripi-koumei,peachboy-riverside,planetes,plunderer,princess-principal,psycho-pass,relife,sayounara-zetsubou-sensei,shirobako,sirius-the-jaeger,ssss-dynazenon,suisei-no-majo,sukitte-ii-na-yo,summer-time-rendering,takt-op-destiny,tales-of-zestiria-the-x,tamako-love-story,tantei-wa-mou-shindeiru,tonari-no-kaibutsu-kun,usagi-drop,vanitas-no-karte,vinland-saga,violet-evergarden,vivy-flourite-eyes-song,wotaku-ni-koi-wa-muzukashii,yakusoku-no-neverland,yowamushi-pedal,yuru-camp
07-ghost,0.9999999999999999,0.012388687156742312,0.017334344806712317,0.009153847334654842,0.007920873610765395,0.017611575271925185,0.005411807863675797,0.0032846060337421573,0.02825138417964135,0.028344256198947988,0.010196387782574723,0.015639104819244812,0.007879808702469036,0.014380543767007911,0.018275486411459114,0.007762174950008561,0.006476225405250401,0.005582582532239198,0.010719184968914013,0.039605332047077085,0.04776875711342556,0.02661251796508577,0.016409600283322622,0.008032380411028635,0.005884832853325612,0.010002583599200941,0.008374245647619396,0.008416771498283586,0.008044954667985157,0.021157252248660455,0.010805675686204158,0.003940603511805015,0.009905261859574705,0.009308892634048369,0.020438431515712317,0.014257338876754235,0.01071690698504146,0.017631369772997754,0.04157759015798016,0.0071265195208310055,0.007840235737344292,0.01769438420848367,0.011835639140015796,0.022559433933887967,0.023635714078388163,0.010778284211957123,0.014790850562194957,0.03566578028033748,0.0466697804438928,0.017978426959582627,0.00648632439368618,0.010280489183756753,0.016077446934059447,0.015336527970415511,0.01928069994988552,0.02991921552597779,0.019425810535772574,0.00416465077393301,0.03313351108349202,0.014172390275146135,0.018455599221665665,0.00797202126887966,0.011650100848849518,0.006179824895079619,0.02753433443385557,0.02862537562124053,0.028373929083565945,0.015123078564641974,0.014832400915881672,0.005962304281127361,0.00500966685433299,0.01779982809715233,0.034112158120717925,0.03437159565609527,0.017344239257087758,0.004219701654363193,0.015442205976104968,0.010763211694945112,0.010506342805057033
3-gatsu-no-lion,0.012388687156742312,1.0,0.017644467220829914,0.00909131855418872,0.0063734604131243265,0.01591048907892232,0.012310242566537441,0.012808680285277754,0.015508629838128622,0.037981749662194364,0.016402955815020152,0.010608886192519927,0.03374280176979494,0.013886158323531156,0.012346379474726783,0.0073311508847798655,0.01974670555164038,0.019418613995231343,0.006767873534373124,0.013905622337097872,0.018482863131690903,0.0062497657460560295,0.013133590260532868,0.017844631317458864,0.009494882484884575,0.01890598828260459,0.007145214796283844,0.022075018988593483,0.004651715888935992,0.018725141880601308,0.013824326665191457,0.007043941247919689,0.007174667550924352,0.007953860201149472,0.01121260231854285,0.010465188264194902,0.013752431802876438,0.015999359136727346,0.023706373453924262,0.004706070500943338,0.011517816726409492,0.008441502441206925,0.011561780901713843,0.011058666928927773,0.007740091755992753,0.00904022077293269,0.01618301039160498,0.025431106699805653,0.02498483673589916,0.009540870385945484,0.0077906471797160115,0.006369173276403925,0.014678732675744344,0.012302232777796714,0.01208989919707825,0.009868322296015234,0.014662408276780144,0.0055141129790303835,0.02254443951931119,0.014469205729338993,0.008450523831123435,0.00981527915499872,0.007829304529500914,0.00838000532136185,0.005045175505470286,0.025726073067141572,0.003934658886692008,0.019148790775039923,0.0070169425761933656,0.008322228146129252,0.012373373375170348,0.006468463159636546,0.020807853875233012,0.009361907297617773,0.007105821858077887,0.005615251682430024,0.010186275278527026,0.012369413393250999,0.01762753471223391
7seeds,0.017334344806712317,0.017644467220829914,0.9999999999999999,0.012338417066340162,0.008276203525169753,0.018337121502783712,0.016515356528746618,0.005173395583803791,0.021968585356370356,0.015318505957592182,0.014067869864861436,0.014095877407368042,0.012117053962159879,0.014892159036085883,0.014932502175185451,0.006565466762720697,0.009450677098496911,0.036037044963548245,0.009062186984533201,0.01707552679466716,0.01814191703456748,0.012614107100879046,0.01356423696969513,0.011809267217092655,0.138569083617188,0.015590146493761135,0.013648613957174939,0.008691111409553908,0.006557453773179011,0.01679055310974413,0.010451878763031074,0.004613079499351679,0.006195165639177191,0.023520101232957284,0.011155879200268464,0.014686762370251622,0.00568777185111456,0.03458964148522447,0.011444984530651327,0.004996311305456702,0.006075785864170572,0.011986977348324523,0.007101226911030081,0.009878552442149099,0.0057182585865101785,0.011974933685336772,0.026226000477603036,0.05882009766406277,0.025445138450380128,0.008689968203819507,0.011964599508723583,0.007024177628914941,0.017450245120940188,0.016087524475995988,0.00871293563840457,0.011819759051684461,0.014020203116015728,0.004240816442190828,0.020098421927003784,0.014442289655804422,0.012715484982776986,0.0052749286798573205,0.0051702098937255045,0.00480464012946249,0.012890244545411563,0.02017635859818903,0.006465081902221156,0.00854066347644712,0.014180702793480144,0.14918765228299807,0.008197670621752886,0.005958311107412545,0.019069724237790815,0.011353616732123276,0.010318353253972996,0.011572912328048152,0.01315838590667343,0.010241540024752901,0.03155467956059819
amagi-brilliant-park,0.009153847334654842,0.00909131855418872,0.012338417066340162,1.0,0.008092177109953046,0.01298277243370559,0.03512764927538656,0.0037854187393455674,0.01491130289655701,0.008167233785929581,0.007348351407952687,0.007705526516788065,0.013063543436521401,0.012946380076698663,0.009938710636824425,0.010307763301765374,0.004575825035682281,0.006070373439801537,0.007284873789023516,0.028507808668102357,0.016063522659689973,0.008619605739397804,0.0061069776135223835,0.006740846440668775,0.005723901586966918,0.007969372401940933,0.00691013451787805,0.011170407507732658,0.0038965020134938437,0.014215015178072983,0.006522682897953327,0.0024818390642874365,0.0057539418336206806,0.005929989402030076,0.010884122947708278,0.006420874832765686,0.007400557820072688,0.012317300265536279,0.006844046187786233,0.005667537065862066,0.005362403848501239,0.0162003914472551,0.07636447699686344,0.013686601712011293,0.020197961109259806,0.00514529967026585,0.011640301094232615,0.021137360987318093,0.005419358072844147,0.008205472200580285,0.01123443096204298,0.04967722630809881,0.011604268691224828,0.012811429295594498,0.010159971093535801,0.019239822586379494,0.011538958794247375,0.003675922292573488,0.01695879486777803,0.011593160224514858,0.008660518147880058,0.006788061832501182,0.006434346882001983,0.00481322683116117,0.002950959966533283,0.010603762991921844,0.011243573184512003,0.004129672196010228,0.006123091593870039,0.003678009531222534,0.003920873785490292,0.005726880011470785,0.02739537609576052,0.013345906000686714,0.005834328748948933,0.003489523510502663,0.007784577334057855,0.005659692722182153,0.007088469359497397
appare-ranman,0.007920873610765395,0.0063734604131243265,0.008276203525169753,0.008092177109953046,1.0000000000000002,0.013047754060656946,0.0048996677978869535,0.002776452833848752,0.016089367691951705,0.0055742896923396896,0.013006366794546632,0.0033085764193033773,0.004094834000215316,0.006873950064157797,0.010797022358846031,0.004523278370715992,0.0032953609363693985,0.004121824251065923,0.010895279809288339,0.014050827087281267,0.011039956674306588,0.007836951095607374,0.0095575038917849,0.006170357986683024,0.005553849408039573,0.004905841924055066,0.009151613321746369,0.009065484775350758,0.00430791194269826,0.0145884159644234,0.004062742679294373,0.0016544471632175006,0.003657059254919845,0.006759443332837781,0.008923845831576566,0.004906932493741016,0.007886020954036453,0.01572007198376297,0.007238418285651015,0.0032449569532669,0.0053208496400337195,0.008348519538727651,0.006317127149590443,0.004588771376831463,0.0053128348892726995,0.015910497172682853,0.012246993210576535,0.016367276069469323,0.004461882175523553,0.009561954081147187,0.006475720367441953,0.004399648810011681,0.010203064996516908,0.0221249685748257,0.008456613223506654,0.012914892653322692,0.009851762613246658,0.0018463393410008925,0.011795830104048648,0.007271538670072136,0.008303971703983903,0.0029092083594518233,0.007910033841810358,0.0026926136064211754,0.0022260930114755564,0.019287793572618166,0.005363247855969824,0.0028641721649431007,0.006321423000870477,0.0032948875674108217,0.00315307976725474,0.004836978186804698,0.014811687508047377,0.013433775820123854,0.0042072339466771675,0.0020357670795968057,0.00788247082509896,0.01225120270903295,0.008198792201331653
assassination-classroom,0.017611575271925185,0.01591048907892232,0.018337121502783712,0.01298277243370559,0.013047754060656946,1.0000000000000002,0.01941382211100336,0.009718064591443618,0.03775916646571899,0.03822084609282352,0.028786514446612503,0.012920627065158109,0.012929031918293794,0.030800224569914197,0.02717770448175483,0.010583120975019464,0.011309232700225531,0.007956780159293152,0.011848738794468636,0.02179685646770038,0.00840511388805652,0.013034973167114227,0.017859313650979855,0.01224014341709876,0.058513574480811126,0.014219578441083009,0.01090925688090982,0.0249421290443336,0.014147133298773916,0.02568178767361636,0.017194862527790598,0.014754300038887924,0.016603378947264037,0.013637697567429092,0.015653143846012726,0.017781310241567004,0.009659147926581853,0.02134116181971202,0.016355780515425272,0.009901230820931336,0.01785005841102705,0.026260952363351884,0.019357364305711847,0.008161037788077967,0.012318970238565333,0.007708199663765333,0.019833660701969288,0.02548830736526819,0.015475677144717596,0.018609754591471177,0.03163410615265236,0.007938789928987562,0.013317910775228325,0.029750440694985517,0.018389200468013057,0.05467715616636175,0.029944536410043337,0.009104713688996766,0.05864766034433173,0.02162172832283956,0.008960299190385651,0.005601082049917148,0.019247263724617554,0.007189649959151522,0.01138465089592172,0.019230799378024865,0.012988209461977264,0.010499573562343304,0.038841911968048426,0.01740033102524696,0.007342478252525925,0.007997754637939882,0.01701610248096697,0.014975248831803385,0.01394182578336329,0.007372032732222187,0.016628376668658493,0.015560041803201185,0.013769018925795141
baby-steps,0.005411807863675797,0.012310242566537441,0.016515356528746618,0.03512764927538656,0.0048996677978869535,0.01941382211100336,1.0,0.01610371794316634,0.01434535120066686,0.0073748581644838725,0.046075355047371876,0.011589377763458376,0.009161821355920788,0.023318459406288256,0.0061645180304686345,0.0025437493390212756,0.02641480341981548,0.0041989097423782,0.00527926980860473,0.007430908184663696,0.003983553324648143,0.005064614310151242,0.005880102140176449,0.004262894895062419,0.01306801101006113,0.005905510917686357,0.004963418508203188,0.03448653224854717,0.0033988437805268805,0.023397111066952612,0.01158544094416302,0.004484204322221843,0.005114667839869809,0.004177203370966289,0.005081922599309467,0.008985079797272127,0.002635175869246129,0.006062230881591755,0.01644446458599321,0.0028313311387771706,0.032105377642794815,0.004506543596047974,0.0041334166086419225,0.0032351035556564866,0.004681523573800169,0.005678415324000902,0.05018810545103878,0.008775932285759073,0.0033654369405713073,0.004265784833174447,0.00501025803637904,0.0055221675074169285,0.005596604893087294,0.009165840236294354,0.0045751188127796435,0.008679485011781316,0.007585227741366947,0.007088595237843397,0.010106759316421639,0.011043188092498619,0.0030723212702316325,0.0034196089098432123,0.004549701805687143,0.0026736817281410156,0.0018831254800125848,0.007363995315253861,0.0023889208316574565,0.006947852792121436,0.00969697178549673,0.006669111194809182,0.0029542307325497886,0.0026226141944668733,0.007459717754534698,0.005094662114853796,0.0038728576445573233,0.008884351866550391,0.007110199803550848,0.017371079532112206,0.006607841885162471
ballroom-e-youkoso,0.0032846060337421573,0.012808680285277754,0.005173395583803791,0.0037854187393455674,0.002776452833848752,0.009718064591443618,0.01610371794316634,1.0,0.005327123019824327,0.0053469928986950846,0.02216664267131604,0.005565770292521053,0.0051836543165465114,0.013356889873768292,0.00405009423634479,0.001635819499999935,0.010856201565765177,0.0049467118034886605,0.003276482267005207,0.005304933251089805,0.002244827524117327,0.0024914726577388306,0.005076554879592427,0.003935642994492552,0.05930464417394929,0.003500415537222128,0.003812394508012964,0.012982622465577437,0.0016033139067706253,0.02849336420976797,0.007104075702734957,0.02045242595887424,0.006327440525845322,0.008868811541964006,0.002687310828357798,0.0031236189872407166,0.005624036906938236,0.00439443859356835,0.01582615922811187,0.0017449131726192946,0.015671509790938308,0.0033488727548104122,0.003532997348218219,0.003419985740113783,0.002412718930406684,0.0030671549678494715,0.022159730535752008,0.006278157960134328,0.002987413326115475,0.0029298123790389473,0.0018192527296932157,0.004408433750939176,0.003520253594001729,0.005126336010208191,0.0031330808504695705,0.005579455970437612,0.004595671823302562,0.0035697230337588754,0.009160162568335194,0.005083263629571515,0.0021717292310664423,0.0016695942493831176,0.002676749204573921,0.003737094796277345,0.004447889693101464,0.006442251102936517,0.0018846773672192387,0.004862809744954991,0.0029216643023757235,0.06046715288311993,0.004964222535619545,0.002674470372696663,0.004449019309244275,0.0033272063432602614,0.0029603699539312842,0.0018675848608907056,0.00347841297261318,0.008637071470510835,0.0036048543702811545
banana-fish,0.02825138417964135,0.015508629838128622,0.021968585356370356,0.01491130289655701,0.016089367691951705,0.03775916646571899,0.01434535120066686,0.005327123019824327,1.0,0.01507961391202816,0.02313713713880743,0.008463370357794962,0.008317730471091017,0.04968885279831405,0.03307826751640531,0.026441222998474172,0.006162928801281438,0.009150411053500642,0.01704867311386916,0.022507043001943196,0.07906783238913981,0.07245312511163648,0.019192883095671815,0.007763351341157866,0.007436264440120245,0.01593236448771713,0.03314507807258711,0.013579939547279476,0.01152743010384795,0.05368213793397549,0.006700058110606944,0.0047013452285792024,0.010117773608074337,0.019883338628719906,0.021148828653066703,0.015241408431878446,0.01168063354107622,0.03420493252337715,0.014017083944083183,0.00882247140982248,0.008723461683794488,0.0219082345806688,0.025887771571693818,0.013197945668539872,0.019187332118617093,0.012341227720053173,0.04455486310358724,0.037630037970314514,0.010908808133914592,0.027049215111203853,0.01837696219227108,0.009462270048260103,0.02167098727994173,0.02485697962378218,0.02247432949322819,0.031268711457780346,0.035277818081010305,0.006894146420646644,0.025353683779898276,0.013420821727857864,0.020867061626198183,0.007711581687667935,0.014523051450746075,0.006874154361198039,0.008509381642621005,0.03492853982772103,0.009867921352452232,0.0071611035028318224,0.018084955917010554,0.008800165317709958,0.012094590609515423,0.012383278568167172,0.03496093784975404,0.026841815786193005,0.013914880578677359,0.005438753898485863,0.023552431469146408,0.01153900905276723,0.021310118899189424
barakamon,0.028344256198947988,0.037981749662194364,0.015318505957592182,0.008167233785929581,0.0055742896923396896,0.03822084609282352,0.0073748581644838725,0.0053469928986950846,0.01507961391202816,1.0,0.04453236910476867,0.015020847680882458,0.0094461105277985,0.014493179631606607,0.00928941550422632,0.005102276746464054,0.015517656491659456,0.013335651543536532,0.0053606280740897275,0.011324643658061464,0.007981296146978067,0.006040393558463457,0.015312877389054404,0.012183291130722635,0.012643820614105804,0.012186450659702258,0.008062705494700952,0.010174892613834908,0.003970419122363284,0.024629370494283164,0.012011808067555939,0.004862870893407017,0.009660033773024795,0.00985891121139192,0.011798584869802842,0.014752886407229888,0.0040942703832745385,0.015093448327048386,0.19760899612414942,0.004592396202007246,0.019996200421757544,0.009570374290644062,0.010072244746508818,0.008454718308196293,0.005067951236393647,0.008722062196529453,0.010400375085922167,0.03256549154506134,0.19002699201982565,0.007664555044214262,0.005259764953662877,0.008285233249765128,0.007309743504079655,0.016917699161038694,0.00616779825666974,0.009949317138852543,0.013680548621343143,0.005927925610772077,0.030415382523457678,0.027895522557774315,0.007399746664748391,0.022842351390135556,0.005139705971364603,0.009319695945699702,0.008709104243408863,0.034754308508605794,0.004090367849949298,0.08457155472164576,0.006834855806893295,0.00831238471902329,0.010548610290569065,0.006437287062912594,0.014426409890438243,0.013356568078430475,0.00803169159967941,0.019522164133423423,0.009414550302303428,0.01903022716248686,0.0161650443987561
