,Lemma,TF-IDF
0,又,1.7110369067881e-05
1,あの,0.0
2,夢,8.569535007843688e-06
3,だ,0.0
4,誰,0.0
5,の,0.0
6,人,0.0
7,は,0.0
8,どう,0.0
9,為る,0.0
10,た,0.0
11,否,0.0
12,俺,0.00018585091963023732
13,に,0.0
14,も,0.0
15,言う,0.0
16,ない,0.0
17,事,0.0
18,か,0.0
19,良く,9.906003144562684e-06
20,分かる,0.0
21,自分,0.0
22,で,0.0
23,うー,1.5060269598767298e-05
24,ああ,0.0
25,おい,0.0
26,はい,2.8367190823065866e-05
27,皆,8.5551845339405e-06
28,起きる,3.836785375575349e-05
29,て,0.0
30,鐘,0
31,が,0.0
32,終わる,0.0
33,まで,0.0
34,集合,5.881135691369353e-05
35,ね,0.0
36,遅れる,3.4429684033262384e-05
37,留年,0
38,から,0.0
39,退学,6.894711202380626e-05
40,成る,0.0
41,居る,0.0
42,競争,0
43,行く,0.0
44,御,0.0
45,影,0
46,栄誉,0
47,有る,0.0
48,帝国,0
49,陸軍,0
50,士官,0
51,学校,0.0002838173673343718
52,第,1.438794515840756e-05
53,期,0
54,生徒,0.0005671918539705269
55,と,0.0
56,要塞,0
57,一員,0
58,為,0.0
59,選抜,0
60,れる,0.0
61,卒業,0.0007316394907271021
62,後,0.0
63,名,4.7959817194691866e-06
64,恥じる,0
65,ず,0.0
66,立派,0
67,軍人,0
68,弛む,0
69,努力,0
70,を,0.0
71,惜しむ,0
72,所存,0
73,です,0.0
74,生,0.00014139732762942086
75,代表,7.036282800394355e-05
76,シュリ,0
77,弥勒,0
78,理事,0
79,長,4.068272785851292e-05
80,今年,6.228888690872625e-05
81,高い,9.58380792648828e-06
82,伺う,0
83,ます,0.0
84,ぞ,0.0
85,な,0.0
86,五百,0
87,内,9.005457404147896e-06
88,試験,0
89,合格,4.712722195811431e-05
90,唯,7.352083392748952e-06
91,二十,0
92,彼,9.065898518548162e-07
93,等,0.0
94,取る,1.7560641938088394e-05
95,此処,0.0
96,難関,0
97,よ,0.0
98,明日,5.5842269741440676e-05
99,軍,0
100,最高,0
101,幹部,0
102,方々,0
103,いらっしゃる,1.2754869043703994e-05
104,今,0.0
105,成果,0
106,遺憾,0
107,無い,0.0
108,発揮,0
109,出来る,0.0
110,様,0.0
111,心掛ける,0
112,下さる,0.0
113,シュ,4.8965242806301543e-05
114,そんな,0.0
115,さ,0.0
116,流石,2.313484608546899e-05
117,名門,0
118,一族,0
119,違う,1.6660096197673606e-05
120,所,0.0
121,遂に,0
122,実技,0
123,授業,0.00029476943135364135
124,出る,0.0
125,呉れる,0.0
126,先生,0.00011211218866247274
127,寂しい,5.693640669814863e-05
128,一般,0
129,全て,0
130,免除,0
131,筈,9.19010424093619e-06
132,気,0.0
133,入る,1.4859004716844024e-05
134,扱い,1.857981052379895e-05
135,顔,3.6966116287883374e-05
136,傷,0
137,なんか,1.6660096197673606e-05
138,付く,7.2527188148385295e-06
139,大変,2.236554208239652e-05
140,もの,3.634400588389435e-05
141,君,0.00027245396819588114
142,エロ本,0
143,持つ,0.0
144,来る,0.0
145,てる,0.0
146,其の,0.0
147,朝,2.9339346524182163e-05
148,不,9.19010424093619e-06
149,機嫌,6.048378997854529e-05
150,出す,6.303820182903526e-06
151,捲る,2.268057159901702e-05
152,別,4.928815505051116e-05
153,びびる,4.032252665236352e-05
154,まさか,1.677415656179739e-05
155,上,0.0
156,脚気,0
157,ぇ,0.00016784369692195356
158,達,8.104911663733106e-06
159,受かる,0.00012549814322126263
160,ば,0.0
161,入れる,7.2527188148385295e-06
162,ぜ,1.6429385016837055e-05
163,戦う,0
164,家族,2.3235606045829254e-05
165,守る,2.877589031681512e-05
166,見せる,3.913969864419391e-05
167,絶対,6.303820182903526e-06
168,未だ,0.0
169,何,0.0
170,思い出す,5.842067477789612e-06
171,あー,0.0
172,偶に,9.802595233456872e-05
173,変,0.0001460516869447403
174,見る,0.0
175,其れ,0.0
176,って,0.0
177,過去,0
178,記憶,0
179,知れる,2.3894271026434096e-05
180,さえ,4.284767503921844e-06
181,仮令,0
182,昔,1.3139357586221334e-05
183,死人,0
184,噂,2.076296230290875e-05
185,くらい,1.3057913236014448e-05
186,兎も角,0
187,御前,0.0
188,調整,0
189,とく,9.45573027435529e-06
190,もっと,4.953001572281342e-06
191,本気,1.9132303565555992e-05
192,こそ,4.5329492592740816e-06
193,ぼっ,0
194,情け,0
195,掛ける,0.0
196,此れ,0.0
197,即ち,0
198,己,0
199,弱い,9.89461991937973e-05
200,まい,9.188548060236323e-06
201,参る,1.4234101674537157e-05
202,強い,1.2866145937310666e-05
203,過ぎる,0.0
204,たって,1.1567423042734494e-05
205,相当,1.7815843436089587e-05
206,物,0.0
207,凄い,0.0
