,Lemma,TF-IDF
0,又,1.048406455006507e-05
1,あの,0.0
2,夢,2.8019892357280893e-05
3,だ,0.0
4,誰,0.0
5,の,0.0
6,人,0.0
7,は,0.0
8,どう,0.0
9,為る,0.0
10,た,0.0
11,否,0.0
12,俺,0.00013160628165810766
13,に,0.0
14,も,0.0
15,言う,0.0
16,ない,0.0
17,事,0.0
18,か,0.0
19,良く,5.9257756152541694e-06
20,分かる,0.0
21,自分,0.0
22,で,0.0
23,うー,2.2143944058430966e-05
24,ああ,0.0
25,おい,0.0
26,はい,0.0
27,皆,1.5726096825097604e-05
28,起きる,1.7243010681403625e-05
29,て,0.0
30,鐘,0
31,が,0.0
32,終わる,0.0
33,まで,0.0
34,集合,0
35,ね,0.0
36,遅れる,5.3595795071792004e-05
37,留年,0
38,から,0.0
39,退学,0
40,成る,0.0
41,居る,0.0
42,競争,0
43,行く,0.0
44,御,0.0
45,影,0
46,栄誉,0
47,有る,0.0
48,帝国,0
49,陸軍,0
50,士官,0
51,学校,2.1094683442538103e-05
52,第,9.672277142577825e-05
53,期,1.141075887877242e-05
54,生徒,3.100876636548602e-05
55,と,0.0
56,要塞,0
57,一員,0
58,為,0.0
59,選抜,0
60,れる,0.0
61,卒業,0
62,後,0.0
63,名,1.868277598465146e-05
64,恥じる,0
65,ず,0.0
66,立派,2.1094683442538103e-05
67,軍人,0
68,弛む,0
69,努力,1.0219128571250272e-05
70,を,0.0
71,惜しむ,0
72,所存,5.105232137240753e-05
73,です,0.0
74,生,1.7585958441050593e-05
75,代表,9.406984628700914e-05
76,シュリ,0
77,弥勒,0
78,理事,0
79,長,0.00036067797883969105
80,今年,0
81,高い,2.7513508360579997e-06
82,伺う,6.415676916601517e-05
83,ます,0.0
84,ぞ,0.0
85,な,0.0
86,五百,0
87,内,3.418716701108175e-06
88,試験,4.141956385185719e-05
89,合格,0.00013462964070937828
90,唯,8.354721547634072e-06
91,二十,0
92,彼,1.5132429598318999e-05
93,等,0.0
94,取る,9.572406763102888e-06
95,此処,0.0
96,難関,0
97,よ,0.0
98,明日,7.0052524005509685e-06
99,軍,0
100,最高,1.4956650125446886e-05
101,幹部,0
102,方々,9.427254167527131e-05
103,いらっしゃる,3.2079161477042914e-05
104,今,0.0
105,成果,0
106,遺憾,0
107,無い,0.0
108,発揮,0
109,出来る,0.0
110,様,0.0
111,心掛ける,0
112,下さる,0.0
113,シュ,0.0001442669501515528
114,そんな,0.0
115,さ,0.0
116,流石,1.7513131001377423e-05
117,名門,0
118,一族,0
119,違う,7.065347848956895e-06
120,所,0.0
121,遂に,2.515077927344317e-05
122,実技,0
123,授業,3.4176338757858556e-05
124,出る,0.0
125,呉れる,0.0
126,先生,7.332379766181238e-05
127,寂しい,2.308714426513816e-05
128,一般,0
129,全て,2.1516641067104866e-05
130,免除,0
131,筈,2.3207559854539088e-05
132,気,0.0
133,入る,1.2307380123989429e-05
134,扱い,2.1216406678081454e-05
135,顔,1.3839965036519353e-05
136,傷,3.638781649981278e-05
137,なんか,5.46994672177308e-06
138,付く,1.0088286398879332e-05
139,大変,1.713264346133257e-05
140,もの,4.229373366776789e-06
141,君,2.7679930073038707e-05
142,エロ本,0
143,持つ,0.0
144,来る,0.0
145,てる,0.0
146,其の,0.0
147,朝,2.185984963933709e-05
148,不,1.8566047883631272e-05
149,機嫌,1.141075887877242e-05
150,出す,5.242032275032535e-06
151,捲る,0
152,別,6.878377090145e-06
153,びびる,1.1824937120870899e-05
154,まさか,1.6551262359311435e-05
155,上,0.0
156,脚気,0
157,ぇ,9.904770746734385e-05
158,達,2.051230020664905e-05
159,受かる,3.616180835876321e-05
160,ば,0.0
161,入れる,4.786203381551444e-06
162,ぜ,2.7679930073038707e-05
163,戦う,9.74469001305309e-06
164,家族,1.82291885283712e-05
165,守る,2.8925521722639806e-05
166,見せる,1.9737075711625013e-05
167,絶対,3.874545594589265e-06
168,未だ,0.0
169,何,0.0
170,思い出す,1.2786529608031672e-05
171,あー,0.0
172,偶に,6.707880486629096e-06
173,変,3.4659870861627536e-05
174,見る,0.0
175,其れ,0.0
176,って,0.0
177,過去,1.0608203339040727e-05
178,記憶,8.73697082187852e-06
179,知れる,1.5781140701086582e-05
180,さえ,8.621505340701812e-06
181,仮令,0
182,昔,1.7243010681403625e-05
183,死人,0
184,噂,1.2152792352247465e-05
185,くらい,5.01411782829199e-06
186,兎も角,6.001653233399479e-05
187,御前,0.0
188,調整,1.9425403023691288e-05
189,とく,7.521176742437984e-06
190,もっと,5.46994672177308e-06
191,本気,1.2786529608031672e-05
192,こそ,6.419818617468666e-06
193,ぼっ,0
194,情け,0
195,掛ける,0.0
196,此れ,0.0
197,即ち,0.0001195785843885721
198,己,9.4637946636281e-06
199,弱い,6.0763961761237325e-06
200,まい,2.066549728220929e-05
201,参る,3.680387539180521e-05
202,強い,8.354721547634072e-06
203,過ぎる,0.0
204,たって,1.8680673068135915e-05
205,相当,2.9513276288839138e-05
